Lemma,freqTFTL
dicere,1437559
habere,475932
facere,454393
posse,412886
uidere,351881
scribere,315457
dare,254389
uenire,197463
ponere,173601
uelle,173537
credere,161915
audire,151329
mori,149538
debere,148061
sapere,136225
sequi,128850
mouere,125130
legere,123473
uiuere,119028
sentire,117520
fallere,106860
quaerere,103326
nasci,98097
mittere,94322
conoscere,93916
stare,79637
amare,69097
tenere,65079
parere_2,64102
capere,62133
recipere,54648
aperire,53929
timere,49430
finire,49206
seruire,43255
sedere,40964
ualere,39188
implere,38903
placere,37287
donare,35796
tollere,34988
intrare,32643
gaudere,31582
exire,31240
currere,30879
laborare,29729
perdere,29064
cadere,27803
colligere,27621
claudere,26923
portare,26453
tacere,25386
trahere,25292
bibere,25288
ambulare,23140
ardere,21494
dormire,20459
dolere,17813
uendere,17363
manducare,17003
crescere,16878
remanere,14550
iacere,14345
cantare,13288
adducere,12601
uestire,10740
leuare,10614
seminare,9514
ridere,9176
partire,8410
fugere,7784
salire,7779
rumpere,7637
plangere,7535
lauare,6742
coquere,6617
excutere,6290
molere,5237
computare,4904
conducere,4539
mordere,4384
stringere,3299
cooperire,2990
mulgere,2225
pluere,2182
calere,1680
consuere,1318
bollire,406
plicare,336
praehendere,269