Replacement	Oxford_ID	DOCULECT	LG_FILEPATHPART	GLOTTOCODE	GLOTTOCODE_APPROX	ASJP_ID
12002000001	Italic_Latino-Faliscan_Latin	Classical Latin	Rce_PLg_Hist_Trad	lati1261	lati1261	LATIN
12111330008	Galego-Portuguese_Portuguese	Port.: Std Lisbon acc.	Rce_Ib_Port_SCt_Lis_Std	port1283	port1283	PORTUGUESE
12121120229	Galego-Portuguese_Galician_from_Cualedro	Galician: Foz	Rce_Ib_NCtm_Gal_Ctl_MindE_Foz_Dl	gali1258	gali1258	GALICIAN
12121120229	Galego-Portuguese_Galician_from_Dodro	Galician: Foz	Rce_Ib_NCtm_Gal_Ctl_MindE_Foz_Dl	gali1258	gali1258	GALICIAN
12121120229	Galego-Portuguese_Galician_from_Lubian	Galician: Foz	Rce_Ib_NCtm_Gal_Ctl_MindE_Foz_Dl	gali1258	gali1258	GALICIAN
12121120229	Galego-Portuguese_Galician_from_Xermade	Galician: Foz	Rce_Ib_NCtm_Gal_Ctl_MindE_Foz_Dl	gali1258	gali1258	GALICIAN
12121120229	Galego-Portuguese_Galician_from_Fisterra_Finisterra	Galician: Foz	Rce_Ib_NCtm_Gal_Ctl_MindE_Foz_Dl	gali1258	gali1258	GALICIAN
12121130129	Galego-Portuguese_Galician_from_Vilanova_de_Oscos	Galician-Asturian	Rce_Ib_NCtm_Gal_East_AstTr_Tapia_Dl	gali1258	gali1258	GALICIAN
12121220008	Spanish_Asturo-Leonese_Asturian_from_Somiedo	Asturian: Normative	Rce_Ib_NCtm_Ast_Ctl_Std	cent1956	cent1956	ASTURIAN
12121220008	Spanish_Asturo-Leonese_Asturian_Sudeste_de_from_Parres	Asturian: Normative	Rce_Ib_NCtm_Ast_Ctl_Std	cent1956	cent1956	ASTURIAN
12131120508	Spanish_Aragonese_Ansotano_from_Anso_Fago	Spanish Std: Burgos	Rce_Ib_Ctr_SpN_Bur_City_Std	cast1244	cast1244	SPANISH
12131120508	Spanish_Aragonese_from_Panticosa	Spanish Std: Burgos	Rce_Ib_Ctr_SpN_Bur_City_Std	cast1244	cast1244	SPANISH
12131120508	Spanish_Modern_Standard	Spanish Std: Burgos	Rce_Ib_Ctr_SpN_Bur_City_Std	cast1244	cast1244	SPANISH
12141230509	Catalan_Western_from_Valencia	Catalan Trans: Morella	Rce_Ib_Cat_Trans_Por_Morella_Dl		nons1235	CATALAN
12141360509	Catalan_Western_from_Lleida	Catalan NW: Vall de Boí	Rce_Ib_Cat_NW_Pal_BoiTaull_Dl		nons1235	CATALAN
12141460509	Catalan_Eastern_Central_Barceloni_from_Barcelona	Catalan Ctl: Granollers	Rce_Ib_Cat_Ctl_Gra_Granollers_Dl	nons1235	nons1235	CATALAN
12141560509	Catalan_Eastern_Rossellones_from_Canet_de_Rossello_Canet-en-Roussillon	Catalan N: Perpignan	Rce_Ib_Cat_Nth_Rous_Perpignan_Dl	ross1234	nons1235	CATALAN
12141640509	Catalan_Eastern_Algueres_from_LAlgher_Alghero	Catalan Isl: Palma	Rce_Ib_Cat_Isl_Mall_Palma_Dl	mall1248	nons1235	CATALAN
12141640509	Catalan_Eastern_Balear_Mallorqui_from_Palma	Catalan Isl: Palma	Rce_Ib_Cat_Isl_Mall_Palma_Dl	mall1248	nons1235	CATALAN
12211107409	French_Poitevin-Saintongeais_Vendeen_from_Beauvoir-sur-Mer	Gallo: Janzé	Rce_Fr_Nth_Gallo_Janze_Dl	gall1275	gall1275	FRENCH
12211223209	French_Norman_from_Jersey	Norman: Les Pieux	Rce_Fr_Nth_Norm_Cot_LesPieux_Dl	norm1245	norm1245	FRENCH
12211225109	French_Norman_Guernsey	Norman: Carteret	Rce_Fr_Nth_Norm_Cot_Carteret_Dl	norm1245	norm1245	FRENCH
12211318309	French_Franc-Comtois_from_Pierrecourt	Picard: Montreuil	Rce_Fr_Nth_Pic_NthW_Montreuil_Dl	pica1241	pica1241	FRENCH
12211318309	French_Picard_from_Mesnil-Martinsart	Picard: Montreuil	Rce_Fr_Nth_Pic_NthW_Montreuil_Dl	pica1241	pica1241	FRENCH
12211436209	French_Wallon_from_Namur	Walloon: Clavier	Rce_Fr_Nth_Wal_Lev_BoisEtBorsu_Dl	west2344	west2344	WALLOON
12211500107	French_Modern_Standard	French Std: Paris Acc.	Rce_Fr_Nth_Orl_Std_Paris_Acc	stan1290	stan1290	FRENCH
12211787409	French_Lorrain_from_Ranrupt	Welche: Fréland	Rce_Fr_Nth_Lorr_Welche_Freland_Dl	lorr1242	lorr1242	FRENCH
12231247709	Occitan_Southern_Languedocien_from_Graulhet	Languedoc: Montpellier	Rce_Fr_Sth_Lgdc_East_Montpellier_Dl	lang1309	lang1309	OCCITAN_ARANESE
12231336709	Occitan_Northern_Auvergnat_Gartempe_from_Gartempe_Creuse_	Limousin: Hautefort	Rce_Fr_Sth_Lim_Peri_Hautefort_Dl	limo1246	limo1246	OCCITAN_ARANESE
12231336709	Occitan_Northern_Limousin_from_Saint-Augustin	Limousin: Hautefort	Rce_Fr_Sth_Lim_Peri_Hautefort_Dl	limo1246	limo1246	OCCITAN_ARANESE
12231420509	Francoprovencal_Lyonnais_from_Vaux	Auvergne: Neschers	Rce_Fr_Sth_Auv_Mid_Neschers_Dl	auve1239	auve1239	OCCITAN_ARANESE
12231572409	Occitan_Northern_Vivaro-Alpin_from_Seyne	Provençal Alpine: Valdese	Rce_Fr_Sth_Alp_Vald_ValGermanascaPrali_Dl		rhod1240	OCCITAN_ARANESE
12231615909	Occitan_Southern_Provencal_from_Nice	Provençal: Lagnes	Rce_Fr_Sth_Prov_Rod_Lagnes_Dl	rhod1240	rhod1240	OCCITAN_ARANESE
12271233809	French_Acadian_from_Baie_Sainte-Marie	Acadian: N.Sco: Baie Ste Marie	Rce_Fr_World_Can_Acad_BaieSteMarie_Dl	acad1238	acad1238	FRENCH
12271233809	French_Acadian_from_Pubnico	Acadian: N.Sco: Baie Ste Marie	Rce_Fr_World_Can_Acad_BaieSteMarie_Dl	acad1238	acad1238	FRENCH
12271235509	French_Acadian_South-East_New_Brunswick_from_Moncton__environs	Acadian: N.Brw.: Scoudouc	Rce_Fr_World_Can_Acad_Scoudouc_Dl	acad1238	acad1238	FRENCH
12311598609	Francoprovencal_Valaisan_Val_dIlliez_from_Val_dIlliez	FrPrv: Valaisan	Rce_Alp_FrPrv_SuiRd_Valais_Evolene_Dl	vala1242	vala1242	FRENCH
12321100008	Swiss_Raeto-Romance_Puter_Upper_Engadine	‘Rumansh Grischun’	Rce_Alp_Rhaet_Rom_StdGrischun_Std	ruma1247	ruma1247	ROMANSH_GRISHUN
12321120008	Swiss_Raeto-Romance_Surselvan	Romansh: Sursilvan	Rce_Alp_Rhaet_Rom_SuRs_Sursilvan_Std	surs1244	surs1244	ROMANSH_SURSILVAN
12321143509	Swiss_Raeto-Romance_Surmiran_from_Bivio-Stalla	Romansh: Surmiran	Rce_Alp_Rhaet_Rom_SurM_Savognin_Dl	surm1243	surm1243	ROMANSH_SURMIRAN
12321210109	Ladin-_Dolomitic_Atesino_Val_Gardena	Ladin: Dolomites	Rce_Alp_Rhaet_Lad_W_ValGardenaOrtisei_Dl		ladi1250	FRIULIAN
12321210109	Ladin-_Dolomitic_Atesino_Val_Badia	Ladin: Dolomites	Rce_Alp_Rhaet_Lad_W_ValGardenaOrtisei_Dl		ladi1250	FRIULIAN
12411113409	Italian_Northern_I_Piedmontese_Basso_from_Cascinagrossa	Piedmont: Pianezza	Rce_It_Nth_Pied_West_Pian_Dl	turi1245	turi1245	ITALIAN
12411113409	Italian_Northern_I_Piedmontese_from_Cairo_Montenotte	Piedmont: Pianezza	Rce_It_Nth_Pied_West_Pian_Dl	turi1245	turi1245	ITALIAN
12411230409	Italian_Northern_I_Lombard_Alpine_from_Val_Calanca	Lombardy: Barlassina	Rce_It_Nth_LomW_Bri_Barlassina_Dl	west2343	west2343	ITALIAN
12411320209	Italian_Northern_I_Lombard_Cremonese_from_Cremona	Lombardy: Gardone	Rce_It_Nth_LomE_Bre_GardoneVT_Dl	lomb1257	lomb1257	ITALIAN
12411438209	Italian_Northern_II_Veneto_Northern_from_Alpago	Veneto: Belluno	Rce_It_Nth_Vto_Nth_Chies_Dl	lomb1257	lomb1257	ITALIAN
12411565509	Friulian_Western_Maniago_from_Greci	Trieste (city)	Rce_It_Nth_VCol_Triest_Trieste_Dl	trie1242	trie1242	ITALIAN
12411565509	Friulian	Trieste (city)	Rce_It_Nth_VCol_Triest_Trieste_Dl	trie1242	trie1242	ITALIAN
12411565509	Italian_Northern_II_Veneto_Istrioto_Valle_dIstria_from_Valle_dIstria	Trieste (city)	Rce_It_Nth_VCol_Triest_Trieste_Dl	trie1242	trie1242	ITALIAN
12411647509	Italian_Northern_I_Ligurian_Genoese_from_Genova	Liguria: Cicagna	Rce_It_Nth_Lig_Gen_Cicagna_Dl	geno1240	geno1240	LIGURIAN_GENOESE
12411773509	Italian_Northern_I_Emilian_from_Travo	Bologna (city)	Rce_It_Nth_Emil_E_BolognaTown_Dl	bolo1260	bolo1260	ITALIAN
12411773509	Italian_Northern_I_Emilian_Romagnol_from_Lugo	Bologna (city)	Rce_It_Nth_Emil_E_BolognaTown_Dl	bolo1260	bolo1260	ITALIAN
12421002007	Italian_Central_Modern_Standard	Italian Std: Tuscany acc.	Rce_It_Tus_ItalianStd_Tuscany_Acc	ital1282	ital1282	ITALIAN_GROSSETO_TUSCAN
12431229709	Italian_Central_Marchigiano_from_Macerata	Marche: Monterubbiano	Rce_It_Ctl_Mar_Macerato_Monterubbiano_Dl		ital1282	ITALIAN
12431229709	Italian_Central_Marchigiano_from_Servigliano	Marche: Monterubbiano	Rce_It_Ctl_Mar_Macerato_Monterubbiano_Dl		ital1282	ITALIAN
12431401409	Italian_Central_Laziale_North-central_from_Ascrea	Sabine: Rieti	Rce_It_Ctl_Sabine_Rieti_Dl		ital1282	ITALIAN
12441252809	Italian_Southern_I_Molisano_from_Casacalenda	Molise: Guglionesi	Rce_It_Sth_Mol_Guglionesi_Dl	moli1245	moli1245	ITALIAN
12441332109	Italian_Southern_I_Pugliese_Dauno_from_Lucera	Puglia: Canosa	Rce_It_Sth_Pug_ABar_Canosa_Dl	pugl1238	pugl1238	ITALIAN
12441533309	Italian_Southern_I_Lucano_Central_from_Calvello	Lucano: Castelmezzano	Rce_It_Sth_Luc_LucC_Castelmezzano_Dl		ital1282	ITALIAN
12441545709	Italian_Southern_I_Lucano_Archaic_from_Nova_Siri	Calabria Lausb.: Oriolo	Rce_It_Sth_Luc_Lau_Oriolo_Dl		ital1282	ITALIAN
12441557109	Italian_Southern_I_Lucano_Calabria_from_Papasidero	Calabria N.: Cetraro	Rce_It_Sth_Luc_Cal_Cetraro_Dl		ital1282	ITALIAN
12451322609	Italian_Southern_II_Sicilian_Central_from_Mussomeli	Sicily C.: Mussomeli	Rce_It_FSth_Sic_MetC_Mussomeli_Dl	cent1963	cent1963	SICILIAN_UnnamedInSource
12461150509	Italian_Central_Tuscan_Corsican_from_Sisco	Corsica: Bastelica	Rce_It_Isl_Cors_Oltra_Bastelica_Dl	vico1238	vico1238	CORSICAN
12461310859	Sardinian_Gallurese	Sardinian N.: Monti	Rce_It_Isl_Sard2Log_N_Monti_Town_Dl	nort2610	nort2610	SARDINIAN
12461310859	Sardinian_Sassarese	Sardinian N.: Monti	Rce_It_Isl_Sard2Log_N_Monti_Town_Dl	nort2610	nort2610	SARDINIAN
12461321859	Sardinian_Logudorese	Sardinian C.: Ghilarza	Rce_It_Isl_Sard2Log_C_Ghilarza_Town_Dl	sout2614	sout2614	SARDINIAN
12461410509	Sardinian_Nuorese	Sardinian NW.: Nuoro	Rce_It_Isl_Sard3Nuo_NW_Nuoro_Town_Dl	nuor1238	nuor1238	SARDINIAN
12461550509	Sardinian_Campidanese	Sardinian CR: Selargius	Rce_It_Isl_Sard4Cam_Rust_Selargius_Dl	cagl1238	cagl1238	SARDINIAN
12511212609	Romanian_Aromanian	Romanian: Itm: Hunedoara	Rce_Rom_Daco_Itm_W_Uricani_Dl	roma1327	roma1327	ROMANIAN
12511212609	Romanian_Megleno-Romanian	Romanian: Itm: Hunedoara	Rce_Rom_Daco_Itm_W_Uricani_Dl	roma1327	roma1327	ROMANIAN
12511212609	Romanian_Modern_Standard	Romanian: Itm: Hunedoara	Rce_Rom_Daco_Itm_W_Uricani_Dl	roma1327	roma1327	ROMANIAN
12521405509	Dalmatian_Vegliote_from_Veglia_Krk	Istro-Romanian:  Žejane	Rce_Rom_Istro_NthCici_Zejane_Dl	istr1245	istr1245	DALMATIAN
12521405509	Romanian_Istro-Romanian_from_Susnjevica_Valdarsa	Istro-Romanian:  Žejane	Rce_Rom_Istro_NthCici_Zejane_Dl	istr1245	istr1245	DALMATIAN
