Glottocode,ID,,,,,
Italic_Latino-Faliscan_Latin,LATIN,,,,,
Galego-Portuguese_Portuguese,PORTUGUESE,,,,,
Galego-Portuguese_Galician_from_Cualedro,GALICIAN,,,,,
Galego-Portuguese_Galician_from_Dodro,GALICIAN,,,,,
Galego-Portuguese_Galician_from_Lubian,GALICIAN,,,,,
Galego-Portuguese_Galician_from_Xermade,GALICIAN,,,,,
Galego-Portuguese_Galician_from_Fisterra_Finisterra,GALICIAN,,,,,
Galego-Portuguese_Galician_from_Vilanova_de_Oscos,GALICIAN,,,,,
Spanish_Asturo-Leonese_Asturian_from_Somiedo,ASTURIAN,,,,,
Spanish_Asturo-Leonese_Asturian_Sudeste_de_from_Parres,ASTURIAN,,,,,
Spanish_Aragonese_Ansotano_from_Anso_Fago,SPANISH,,,,,
Spanish_Aragonese_from_Panticosa,SPANISH,,,,,
Spanish_Modern_Standard,SPANISH,,,,,
Catalan_Western_from_Valencia,CATALAN,,,,,
Catalan_Western_from_Lleida,CATALAN,,,,,
Catalan_Eastern_Central_Barceloni_from_Barcelona,CATALAN,,,,,
Catalan_Eastern_Rossellones_from_Canet_de_Rossello_Canet-en-Roussillon,CATALAN,,,,,
Catalan_Eastern_Algueres_from_LAlgher_Alghero,CATALAN,,,,,
Catalan_Eastern_Balear_Mallorqui_from_Palma,CATALAN,,,,,
French_Poitevin-Saintongeais_Vendeen_from_Beauvoir-sur-Mer,FRENCH,,,,,
French_Norman_from_Jersey,FRENCH,,,,,
French_Norman_Guernsey,FRENCH,,,,,
French_Franc-Comtois_from_Pierrecourt,FRENCH,,,,,
French_Picard_from_Mesnil-Martinsart,FRENCH,,,,,
French_Wallon_from_Namur,WALLOON,,,,,
French_Modern_Standard,FRENCH,,,,,
French_Lorrain_from_Ranrupt,FRENCH,,,,,
Occitan_Southern_Languedocien_from_Graulhet,OCCITAN_ARANESE,,,,,
Occitan_Northern_Auvergnat_Gartempe_from_Gartempe_Creuse_,OCCITAN_ARANESE,,,,,
Occitan_Northern_Limousin_from_Saint-Augustin,OCCITAN_ARANESE,,,,,
Francoprovencal_Lyonnais_from_Vaux,OCCITAN_ARANESE,,,,,
Occitan_Northern_Vivaro-Alpin_from_Seyne,OCCITAN_ARANESE,,,,,
Occitan_Southern_Provencal_from_Nice,OCCITAN_ARANESE,,,,,
French_Acadian_from_Baie_Sainte-Marie,FRENCH,,,,,
French_Acadian_from_Pubnico,FRENCH,,,,,
French_Acadian_South-East_New_Brunswick_from_Moncton__environs,FRENCH,,,,,
Francoprovencal_Valaisan_Val_dIlliez_from_Val_dIlliez,FRENCH,,,,,
Swiss_Raeto-Romance_Puter_Upper_Engadine,ROMANSH_GRISHUN,,,,,
Swiss_Raeto-Romance_Surselvan,ROMANSH_SURSILVAN,,,,,
Swiss_Raeto-Romance_Surmiran_from_Bivio-Stalla,ROMANSH_SURMIRAN,,,,,
Ladin-_Dolomitic_Atesino_Val_Gardena,FRIULIAN,,,,,
Ladin-_Dolomitic_Atesino_Val_Badia,FRIULIAN,,,,,
Italian_Northern_I_Piedmontese_Basso_from_Cascinagrossa,ITALIAN,,,,,
Italian_Northern_I_Piedmontese_from_Cairo_Montenotte,ITALIAN,,,,,
Italian_Northern_I_Lombard_Alpine_from_Val_Calanca,ITALIAN,,,,,
Italian_Northern_I_Lombard_Cremonese_from_Cremona,ITALIAN,,,,,
Italian_Northern_II_Veneto_Northern_from_Alpago,ITALIAN,,,,,
Friulian_Western_Maniago_from_Greci,ITALIAN,,,,,
Friulian,ITALIAN,,,,,
Italian_Northern_II_Veneto_Istrioto_Valle_dIstria_from_Valle_dIstria,ITALIAN,,,,,
Italian_Northern_I_Ligurian_Genoese_from_Genova,LIGURIAN_GENOESE,,,,,
Italian_Northern_I_Emilian_from_Travo,ITALIAN,,,,,
Italian_Northern_I_Emilian_Romagnol_from_Lugo,ITALIAN,,,,,
Italian_Central_Modern_Standard,ITALIAN_GROSSETO_TUSCAN,,,,,
Italian_Central_Marchigiano_from_Macerata,ITALIAN,,,,,
Italian_Central_Marchigiano_from_Servigliano,ITALIAN,,,,,
Italian_Central_Laziale_North-central_from_Ascrea,ITALIAN,,,,,
Italian_Southern_I_Molisano_from_Casacalenda,ITALIAN,,,,,
Italian_Southern_I_Pugliese_Dauno_from_Lucera,ITALIAN,,,,,
Italian_Southern_I_Lucano_Central_from_Calvello,ITALIAN,,,,,
Italian_Southern_I_Lucano_Archaic_from_Nova_Siri,ITALIAN,,,,,
Italian_Southern_I_Lucano_Calabria_from_Papasidero,ITALIAN,,,,,
Italian_Southern_II_Sicilian_Central_from_Mussomeli,SICILIAN_UnnamedInSource,,,,,
Italian_Central_Tuscan_Corsican_from_Sisco,CORSICAN,,,,,
Sardinian_Gallurese,SARDINIAN,,,,,
Sardinian_Sassarese,SARDINIAN,,,,,
Sardinian_Logudorese,SARDINIAN,,,,,
Sardinian_Nuorese,SARDINIAN,,,,,
Sardinian_Campidanese,SARDINIAN,,,,,
Romanian_Aromanian,ROMANIAN,,,,,
Romanian_Megleno-Romanian,ROMANIAN,,,,,
Romanian_Modern_Standard,ROMANIAN,,,,,
Dalmatian_Vegliote_from_Veglia_Krk,DALMATIAN,,,,,
Romanian_Istro-Romanian_from_Susnjevica_Valdarsa,DALMATIAN,,,,,